Rank,Name,Frequency,Year
776,Jasmin,2,1980
776,Jaycee,2,1980
776,Jeanna,2,1980
776,Jeannine,2,1980
776,Jenessa,2,1980
776,Jenise,2,1980
776,Jennafer,2,1980
776,Jennette,2,1980
776,Jeralyn,2,1980
776,Jerri,2,1980
776,Jewel,2,1980
776,Jillene,2,1980
776,Joanie,2,1980
776,Jodi-Lynn,2,1980
776,Joellen,2,1980
776,Jolane,2,1980
776,Joline,2,1980
776,Jonelle,2,1980
776,Josephine,2,1980
776,Julaine,2,1980
776,Julianna,2,1980
776,June,2,1980
776,Kailie,2,1980
776,Kali,2,1980
776,Kari-Ann,2,1980
776,Karie,2,1980
776,Kari-Lyn,2,1980
776,Karine,2,1980
776,Karissa,2,1980
776,Karma,2,1980
776,Karolina,2,1980
776,Karoline,2,1980
776,Karolyn,2,1980
776,Kasey,2,1980
776,Kassie,2,1980
776,Kathryne,2,1980
776,Kathyrn,2,1980
776,Keely,2,1980
776,Kelly-Lynn,2,1980
776,Kelsie,2,1980
776,Kelty,2,1980
776,Kendall,2,1980
776,Kenna,2,1980
776,Kerri-Ann,2,1980
776,Kerri-Anne,2,1980
776,Kerri-Lynn,2,1980
776,Kiersten,2,1980
776,Kiley,2,1980
776,Kirsti,2,1980
776,Kora,2,1980
776,Korin,2,1980
776,Korrin,2,1980
776,Kris,2,1980
776,Kylee,2,1980
776,Kyra,2,1980
776,La,2,1980
776,Lacy,2,1980
776,Larisa,2,1980
776,Launa,2,1980
776,Lauralee,2,1980
776,Laurelle,2,1980
776,Layna,2,1980
776,Le,2,1980
776,Leaha,2,1980
776,Leann,2,1980
776,Lee-Anne,2,1980
776,Leia,2,1980
776,Leigh-Ann,2,1980
776,Leilani,2,1980
776,Leisa,2,1980
776,Leni,2,1980
776,Lenna,2,1980
776,Leora,2,1980
776,Letitia,2,1980
776,Linsay,2,1980
776,Lisa-Dawn,2,1980
776,Lise,2,1980
776,Lola,2,1980
776,Lolita,2,1980
776,Loredana,2,1980
776,Lorelie,2,1980
776,Lorena,2,1980
776,Loriann,2,1980
776,Lori-Ann,2,1980
